Date,Location,LoggerNo,tree,SensorId,BarPeekMax,BarPeekMin,àéî éâê,àéî éóë,ÑöÄÉÖö,Çôç éñàÅò íÖêöâ,ÑöÄÉÖö éÇâÇâö
26/03/2017,BET-SHEAN3,5,7,139,-,0.17094017094017,11.1,23.5,3.5,,
25/03/2017,BET-SHEAN3,5,7,139,0.17094017094017,0.17094017094017,-,-,-,-,-
24/03/2017,BET-SHEAN3,5,7,139,0.17094017094017,0,8.1,30.3,4.1,,
23/03/2017,BET-SHEAN3,5,7,139,0.17094017094017,0,10.4,24.4,3.5,,
22/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.34188034188034,10.1,25.6,4.2,,
21/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.17094017094017,8.9,26.1,4.0,,
20/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.17094017094017,7.5,23.2,3.4,,
19/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.17094017094017,9.6,22.2,3.2,,
18/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.17094017094017,9.9,21.2,2.5,,
17/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.17094017094017,9.7,23.4,2.8,,
16/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.34188034188034,12.2,20.4,2.3,,
15/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.34188034188034,9.3,23.2,3.0,,
14/03/2017,BET-SHEAN3,5,7,139,0.34188034188034,0.17094017094017,32.8-,48.9,3.2,,
13/03/2017,BET-SHEAN3,5,7,139,0.51282051282051,0.17094017094017,5.3,25.8,3.4,,
12/03/2017,BET-SHEAN3,5,7,139,2.7350427350427,0.34188034188034,6.1,23.5,3.1,,
11/03/2017,BET-SHEAN3,5,7,139,2.7350427350427,0.17094017094017,7.6,22.4,2.9,,
10/03/2017,BET-SHEAN3,5,7,139,2.7350427350427,0.17094017094017,6.6,22.4,2.7,,
09/03/2017,BET-SHEAN3,5,7,139,2.2222222222222,0.34188034188034,5.1,18.6,2.2,,
08/03/2017,BET-SHEAN3,5,7,139,12.222222222222,9.4871794871795,3.4,21.1,2.8,,
07/03/2017,BET-SHEAN3,5,7,139,14.273504273504,12.051282051282,2.8,22.5,2.8,,
06/03/2017,BET-SHEAN3,5,7,139,21.623931623932,20.42735042735,3.0,20.3,2.8,,
05/03/2017,BET-SHEAN3,5,7,139,21.452991452991,20.42735042735,1.0,18.0,2.3,,
04/03/2017,BET-SHEAN3,5,7,139,23.418803418803,22.735042735043,1.7,16.2,2.2,,
03/03/2017,BET-SHEAN3,5,7,139,23.247863247863,22.905982905983,4.1,11.6,1.0,,
02/03/2017,BET-SHEAN3,5,7,139,23.247863247863,22.905982905983,8.0,15.1,1.0,,
01/03/2017,BET-SHEAN3,5,7,139,23.247863247863,22.905982905983,7.5,13.8,3.0,,
28/02/2017,BET-SHEAN3,5,7,139,23.760683760684,23.247863247863,5.7,15.7,3.0,,
27/02/2017,BET-SHEAN3,5,7,139,24.102564102564,23.589743589744,9.1,18.6,3.0,,
26/02/2017,BET-SHEAN3,5,7,139,24.273504273504,23.760683760684,11.0,20.9,3.0,,
25/02/2017,BET-SHEAN3,5,7,139,26.324786324786,24.102564102564,-,-,-,-,-
24/02/2017,BET-SHEAN3,5,7,139,26.324786324786,23.760683760684,-,-,-,-,-
23/02/2017,BET-SHEAN3,5,7,139,25.982905982906,24.615384615385,-,-,-,-,-
22/02/2017,BET-SHEAN3,5,7,139,24.957264957265,21.452991452991,7.3,25.1,3.0,,
22/02/2017,BET-SHEAN3,5,7,139,24.957264957265,21.452991452991,-,-,3.0,-,-
22/02/2017,BET-SHEAN3,5,7,139,24.957264957265,21.452991452991,-,-,3.3,-,-
21/02/2017,BET-SHEAN3,5,7,139,24.444444444444,15.213675213675,4.1,21.1,2.1,,
20/02/2017,BET-SHEAN3,5,7,139,23.931623931624,6.0683760683761,-,-,-,-,-
19/02/2017,BET-SHEAN3,5,7,139,22.478632478632,10.25641025641,-,-,-,-,-
18/02/2017,BET-SHEAN3,5,7,139,24.102564102564,2.1367521367521,-,-,-,-,-
17/02/2017,BET-SHEAN3,5,7,139,19.57264957265,1.7094017094017,-,-,-,-,-
16/02/2017,BET-SHEAN3,5,7,139,16.752136752137,5.8974358974359,-,-,-,-,-
